Epoch,train_loss,val_loss,test_loss,diff_seed_loss,out_of_domain_loss,diff_model_loss,diff_mod_rand_loss,intv_test_loss 
44,121.88513938224676,126.10745995466681,122.3239109552758,117.27367568195041,1333.4648974148192,4387.209615228441,371.58770859444337,138.87648289543284 
45,115.06741372021762,143.7045534961249,135.6053571382201,129.44432144490347,1582.8657544741106,4958.871571734175,452.92777219670023,128.7893081981312 
46,101.31559105533542,129.40392697945288,126.07421153129609,106.73128993452701,2030.4184066603543,5712.236149423616,506.3420095288631,109.91540779327406 
47,128.4953542731025,107.3996976136631,105.96766485841687,97.12937151968761,1353.3542734784364,4869.213399530481,465.2984368754703,106.47857715829741 
48,258.4151811220429,482.57451289301065,571.5983556398036,437.2026789678319,1853.8222539383162,5411.516595455259,701.6341047612398,412.80969990700544 
49,179.07157599022895,171.89859188248133,190.99914345033338,193.08076030888043,1130.8537810766747,4480.2571221535545,403.5850374248956,193.36634623356878 
50,97.9967425718452,89.80361255540386,92.40949054717203,82.55379466292288,1272.8801242737113,5008.3115833303655,352.55010944207316,104.20819070392463 
51,86.83136277126543,169.7583565684294,170.99953920556194,209.51653166834095,1395.2736085631973,4943.691528666392,395.8376378264773,199.5149412322913 
52,110.17333982568799,242.4184859124329,272.41052015519784,330.9362842078809,1468.0164914226923,4470.963866640167,338.7356845072005,314.8572062632273 
53,166.68447590235508,166.40670135715885,183.27354107750904,193.56477175035835,1351.5842741528759,4471.978878435544,300.9727636004973,184.57701100386492 
54,103.98843211658073,102.40477716005343,108.37940282060623,92.16619783856804,1309.0894687979023,4899.511504390393,433.04340414166217,112.03332201000012 
55,163.2097206784017,229.8670208907313,226.13738647364596,188.4330157769611,1312.8256526958774,4565.944725642027,671.6806816512697,171.52940890959 
56,119.96432307994726,106.99794699207996,110.9478505399311,90.3686467390784,1379.8286867240029,4542.599265248512,305.4348036168609,84.43207876724482 
57,104.7007150270722,231.14705970854266,229.6446198639751,289.5515548744624,1243.4996607526905,3752.806638304264,403.8755096074259,275.3258581999347 
58,100.9745145837466,80.45672590265652,72.7837304370025,61.326331061626846,1391.185084633503,4294.363886379093,300.4984313539986,77.97092748730574 
59,56.9073064309178,124.68175940989103,120.3175348629417,114.85270620849624,1337.7780102328084,4235.306507695187,417.45050962182063,115.88282127291968 
60,83.36286856369539,110.2524244977006,106.31052736894101,107.28767055288644,957.995440028562,3628.6379840677982,379.5371394378308,108.61816313896342 
61,91.0666973753409,178.15082174200668,199.21266825006347,241.12933411281702,1271.649018716503,4329.207136802654,391.37614572185555,237.84321672871593 
62,119.88427196488236,61.373901757114965,60.04658520294874,56.874475858431104,1134.8081783259595,3626.246841079118,269.7599425934808,61.47287909187435 
63,110.50151776183735,149.70688422905448,157.8487928774266,168.19067252042586,998.0931654520798,4113.808881506007,393.0167284492289,145.3632470263925 
64,225.22773320476213,1572.6936832798851,1615.7584506339497,1533.06934120059,2408.21846062541,6110.9451610088345,1512.8233723242884,1528.3033601045609 
65,291.53490536140674,591.4080689001396,617.2664404844109,766.1866165556605,1307.8311268595767,3637.485016440251,409.68533157472916,813.9156154722942 
66,234.48727817246407,116.17068086868838,129.16276375378786,98.8460230744562,924.2441339961691,1973.8197626572296,351.0392871383316,126.43807140858117 
67,221.280123519175,303.00593867184375,309.9595789466855,257.7630843711901,655.8925773783516,2493.7485578370965,737.6797537000654,263.2275427951361 
68,393.10293459531033,266.9455269356687,306.58535245717053,327.88216833766853,949.7278721173795,1997.5730710869013,291.327079979345,372.2137691862888 
69,149.44360852241516,145.09848142543038,134.6728785280591,153.3370103826892,787.4126070379205,1995.6217327419959,300.69086580508736,148.75742209417004 
70,85.28795702890916,248.79470821829617,250.01201233869344,314.3147619572963,721.8927753672285,1852.3926431181317,377.21274402656127,309.743247135097 
